id,price_doc
30474,2837021.370488982
30475,23675475.417110614
30476,3878757.152381817
30477,6948393.324322338
30478,5781925.879288956
30479,8766771.637254223
30480,4853927.418901023
30481,2540590.0785415526
30482,21251244.317601845
30483,122898386.14784618
30484,8029302.489451953
30485,5732629.645288358
30486,1121730.4856448339
30487,10079018.454037484
30488,9734690.472578283
30489,5284587.837320301
30490,15016958.257655285
30491,7386401.694967087
30492,10949960.258592423
30493,50694533.418811955
30494,7475350.540388637
30495,1267677.9462081015
30496,6751332.742532873
30497,8473254.05119126
30498,11857408.854254004
30499,517114.95080506825
30500,24204297.333724517
30501,9356334.057616716
30502,3179776.506770173
30503,11893886.351191442
30504,40542484.26091076
30505,13059646.454991242
30506,101881797677449.08
30507,4071987.521805141
30508,5572579.378759937
30509,133814431.08293988
30510,9946955.41716694
30511,2629615.860131993
30512,12244511.334610943
30513,4874752.777464347
30514,81862985430458.23
30515,9721713.61664336
30516,6543347.855584388
30517,9875866.259274397
30518,14337520.772070022
30519,2765380.739144473
30520,4312432.763177041
30521,2.1843442391671655
30522,2569055.598573292
30523,8646315.62025818
30524,4598350.540046576
30525,169450.11548131882
30526,3746640.447554358
30527,3332055.1079168217
30528,38576442.931742996
30529,5795491.520629628
30530,611966.6271356731
30531,2733202.7892364357
30532,2833781.0545854894
30533,4304090.281848797
30534,7427498.738325579
30535,9804263.508956468
30536,4835376.386107164
30537,6700535.076946723
30538,175508.0658002927
30539,7972610.687064597
30540,9904461.177719897
30541,1302822.6016141386
30542,83116272442272.47
30543,3593479.259831082
30544,9743845.971875876
30545,331104.5676921282
30546,2646752.3844792503
30547,5427679.101252701
30548,3592153.4416118264
30549,16528705.584134817
30550,3078186.898923364
30551,3937241.898600539
30552,82425272018632.67
30553,49815950.00144269
30554,8052605.583248035
30555,6195471.573640818
30556,8649337.508157298
30557,56317394.75690055
30558,9687184.022486277
30559,2590718143.9613667
30560,31392641.314866696
30561,4335190.378869804
30562,7098901.345093414
30563,4006897.6990428213
30564,7929349.270695189
30565,8303579.532433841
30566,5224505.014500259
30567,83027359928188.27
30568,1283228.6216250828
30569,8496911.573278936
30570,17632467.010442395
30571,17984664.31465861
30572,3758689.9726002235
30573,7998424.207907726
30574,4065360.4250039794
30575,106918013.7565562
30576,10079018.454037484
30577,8141106.333849143
30578,103165646173633.89
30579,3645041.656292172
30580,6462252.407510473
30581,4543524.194113255
30582,1909783.899331909
30583,7427498.738325579
30584,711850.5650356408
30585,3628377.1555962497
30586,7730422.83291149
30587,2948760.5254364423
30588,8621032.598525502
30589,30947569.10118925
30590,14270481.75643448
30591,1452629.2902699274
30592,21809596.527974393
30593,6762904.268576127
30594,6908859.980764945
30595,12928417.457274638
30596,4693765190.80781
30597,7998424.207907726
30598,9972539.42343161
30599,1467117.642640977
30600,4858224.016652434
30601,15943281.821893672
30602,83116272442272.47
30603,12776554.598764578
30604,29944445.804166015
30605,8167113.781458353
30606,1683726.013042447
30607,452602.19331567927
30608,147200066.63782835
30609,4459132.8080222495
30610,4136792.2856809446
30611,5572579.378759937
30612,41122405.81370242
30613,4887731.833630461
30614,21444362.608984336
30615,4262399.895356211
30616,5608480.827505477
30617,6106341.298467306
30618,10017102.574511679
30619,3909463.6512682103
30620,99596073552562.22
30621,2676513.87007148
30622,4481109.72319192
30623,9522074.642608069
30624,3655911.521098692
30625,2533014.966512493
30626,9898411.982710987
30627,20869444.968570396
30628,8026724.7527095135
30629,22292611.25548396
30630,4089215.6296247113
30631,6553262.330588539
30632,5467170.538037058
30633,1286577.49522282
30634,6855525.37993869
30635,9962937.718884168
30636,336045.89319187944
30637,9969337.827611677
30638,10121239.586413171
30639,7647704.4533571
30640,2694310.83101441
30641,7924741.742575957
30642,9131886.295038775
30643,9350465.095020166
30644,10035713.509521844
30645,411828.2816835076
30646,5665441.090081871
30647,4032975.9882578943
30648,1132645.6546008717
30649,99064504250298.83
30650,25719894.640949596
30651,102801905785183.55
30652,2679930.6162433764
30653,465660243.22530687
30654,4064006.1312275636
30655,3777463.1303839325
30656,3768122.8020042013
30657,4761876.08285432
30658,22321481.076452244
