id,price_doc
30474,5124657.463055413
30475,6211340.809346999
30476,6283404.306252534
30477,5021572.4660527
30478,5397707.04408175
30479,6901669.4707729025
30480,5554072.845030318
30481,5316951.0290283
30482,5064372.750786811
30483,5059450.9859813815
30484,6177496.973117573
30485,5381677.553282798
30486,4764144.080183926
30487,5332063.094727484
30488,4861387.508967707
30489,5949652.6673251325
30490,8382990.438500403
30491,7951731.19630593
30492,5798055.861330201
30493,7207636.214909215
30494,5901445.649792443
30495,6904946.655049541
30496,7382210.866550265
30497,6421794.597462962
30498,5822742.454333206
30499,6564577.757840526
30500,6732903.6192450775
30501,6223333.30452045
30502,4479509.369668699
30503,6452244.431333009
30504,6266095.349184206
30505,6832498.508772816
30506,2488827.6028282656
30507,5313551.655083376
30508,5826922.122717261
30509,6188965.985554951
30510,6654563.980736175
30511,6420510.502479944
30512,5878377.032152747
30513,5562338.182684133
30514,2676481.5119476547
30515,6601832.125943723
30516,5390782.352307879
30517,7193231.750576738
30518,6443631.708239393
30519,6200256.094211387
30520,6242268.757985646
30521,5905335.155051484
30522,6397250.09058132
30523,6130615.905133749
30524,6302807.355571208
30525,6453678.06984397
30526,5326399.322737388
30527,5794107.774374994
30528,6153404.996439454
30529,6446818.31489329
30530,5892181.603187432
30531,7132413.168984583
30532,5418890.330115874
30533,6897557.402412948
30534,5888296.687607507
30535,6621249.726268226
30536,5768871.720490375
30537,6944098.6020819545
30538,5687518.6277546
30539,8215465.565055887
30540,6644675.653843192
30541,6779964.747832686
30542,2318922.057121364
30543,5977274.691326132
30544,6444566.784379505
30545,6804156.179971634
30546,5549941.989138048
30547,6761437.761191114
30548,5539974.680631642
30549,5430966.698689904
30550,6851784.758749745
30551,5382473.615417821
30552,2312207.5007937886
30553,6753316.52170468
30554,6676155.201213001
30555,6045374.618150503
30556,6869416.180676691
30557,6867070.855675911
30558,6159104.449817596
30559,6499371.954535981
30560,6403897.783447143
30561,6172636.570037498
30562,6958780.251280512
